last_name,first_name,mlbam_id,retrosheet_id,fangraphs_id
mccutchen,andrew,457705,mccua001,9847
reyes,franmil,614177,reyef001,14566
alonso,pete,624413,alonp001,19251
seager,kyle,572122,seagk001,9785
hiura,keston,669374,hiurk001,20003
smith,will,669257,smitw003,19197
harper,bryce,547180,harpb003,11579
nimmo,brandon,607043,nimmb001,12927
suárez,eugenio,553993,suare001,12552
hosmer,eric,543333,hosme001,3516
gallo,joey,608336,gallj002,14128
india,jonathan,663697,indij001,21523
anderson,tim,641313,andet001,15172
astudillo,willians,553902,astuw001,15608
hays,austin,669720,haysa001,19363
martini,nick,605361,martn003,12005
santana,carlos,467793,santc002,2396
altuve,josé,514888,altuj001,5417
drew,stephen,452220,drews001,4251
forsythe,logan,523253,forsl001,7185
smith,will,669257,smitw003,19197
luplow,jordan,656669,luplj001,16424
castro,jason,488771,castj006,8722
santander,anthony,623993,santa003,14551
moreland,mitch,519048,morem001,3086
howard,ryan,429667,howar001,2154
realmuto,j. t.,592663,realj001,11739
longoria,evan,446334,longe001,9368
slater,austin,596103,slata001,16153
dalbec,bobby,666915,dalbb001,19966
bregman,alex,608324,brega001,17678
belt,brandon,474832,beltb001,10264
arozarena,randy,668227,arozr001,19290
tulowitzki,troy,453064,tulot001,3531
gosselin,philip,594838,gossp001,10953
contreras,willson,575929,contw001,11609
kirk,alejandro,672386,kirka001,22581
hernández,teoscar,606192,hernt002,13066
guerrero,vladimir,665489,guerv002,19611
solano,donovan,456781,solad001,8623
lewis,royce,668904,lewir003,20437
longoria,evan,446334,longe001,9368
murphy,tom,608596,murpt002,13499
holliday,matt,407812,hollm001,1873
realmuto,j. t.,592663,realj001,11739
duda,lucas,446263,dudal001,2502
davis,j. d.,605204,davij006,16219
rasmus,colby,458675,rasmc001,9893
stanton,giancarlo,519317,stanm004,4949
peralta,david,444482,perad001,2136
conforto,michael,624424,confm001,16376
grossman,robbie,543257,grosr001,5254
fowler,dexter,451594,fowld001,4062
moran,colin,592567,morac001,16909
schwarber,kyle,656941,schwk001,16478
pham,tommy,502054,phamt001,2967
nimmo,brandon,607043,nimmb001,12927
calhoun,kole,594777,calhk001,11200
haniger,mitch,571745,hanim001,14274
sánchez,jesús,660821,sancj003,19913
shaw,travis,543768,shawt001,11982
markakis,nick,455976,markn001,5930
pasquantino,vinnie,686469,pasqv001,27676
souza,steven,519306,souzs001,5667
mcneil,jeff,643446,mcnej002,15362
fielder,prince,425902,fielp001,4613
bregman,alex,608324,brega001,17678
chapman,matt,656305,chapm001,16505
seager,kyle,572122,seagk001,9785
schanuel,nolan,694384,schan001,33189
ohtani,shohei,660271,ohtas001,19755
swanson,dansby,621020,swand001,18314
lewis,kyle,641786,lewik001,19508
moustakas,mike,519058,mousm001,4892
vogelbach,dan,596129,voged001,14130
dickerson,corey,572816,dickc002,10762
happ,ian,664023,happi001,17919
bryant,kris,592178,bryak001,15429
pérez,salvador,521692,peres002,7304
bell,josh,605137,bellj005,13145
smith,seth,452234,smits002,7331
braun,ryan,460075,braur002,3410
schebler,scott,594988,sches001,12225
polanco,jorge,593871,polaj001,13152
rendon,anthony,543685,renda001,12861
jeffers,ryan,680777,jeffr002,24618
torkelson,spencer,679529,torks001,27465
rizzo,anthony,519203,rizza001,3473
tellez,rowdy,642133,tellr001,15679
kemp,matt,461314,kempm001,5631
choi,ji man,596847,choij001,5452
nimmo,brandon,607043,nimmb001,12927
abreu,josé,547989,abrej003,15676
gimenez,chris,460269,gimec001,7324
pederson,joc,592626,pedej001,11899
soler,jorge,624585,solej001,14221
kipnis,jason,543401,kipnj001,9776
choi,ji man,596847,choij001,5452
crawford,brandon,543063,crawb001,5343
ramos,wilson,467092,ramow001,1433
sanó,miguel,593934,sanom001,12164
urshela,gio,570482,urshg001,10681
martínez,josé,500874,martj008,7996
murphy,sean,669221,murps001,19352
braun,ryan,460075,braur002,3410
plawecki,kevin,608700,plawk001,13807
ramírez,hanley,434670,ramih003,8001
miller,brad,543543,millb002,12775
duda,lucas,446263,dudal001,2502
adams,lane,572669,adaml001,10767
canó,robinson,429664,canor001,3269
hoskins,rhys,656555,hoskr001,16472
saltalamacchia,jarrod,457454,saltj001,5557
abreu,josé,547989,abrej003,15676
hicks,aaron,543305,hicka001,5297
engel,adam,641553,engea001,15082
polanco,jorge,593871,polaj001,13152
smith,kevan,607345,smitk002,12284
la stella,tommy,600303,lastt001,12371
martinez,j. d.,502110,martj006,6184
cain,lorenzo,456715,cainl001,9077
cron,kevin,605196,cronk001,16211
van slyke,scott,475100,vanss001,4365
valencia,danny,502143,valed001,6364
schebler,scott,594988,sches001,12225
wade,lamonte,664774,wadel001,18126
votto,joey,458015,vottj001,4314
dickerson,alex,543105,dicka001,12649
schwarber,kyle,656941,schwk001,16478
arenado,nolan,571448,arenn001,9777
robert,luis,673357,robel002,20043
pederson,joc,592626,pedej001,11899
donaldson,josh,518626,donaj001,5038
contreras,william,661388,contw002,20503
olson,matt,621566,olsom001,14344
bryant,kris,592178,bryak001,15429
flowers,tyler,452095,flowt001,9134
rizzo,anthony,519203,rizza001,3473
marte,starling,516782,marts002,9241
stewart,christin,621514,stewc002,17714
tatís,fernando,665487,tatif002,19709
contreras,willson,575929,contw001,11609
park,byung ho,666560,parkb002,18497
lamb,jake,571875,lambj001,13329
kepler,max,596146,keplm001,12144
gurriel,lourdes,666971,gurrl001,19238
pollock,aj,572041,polla001,9256
ramírez,hanley,434670,ramih003,8001
kemp,matt,461314,kempm001,5631
jiménez,eloy,650391,jimee001,17484
pederson,joc,592626,pedej001,11899
