"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
23648,138,"STL",2017,23648,100,0.253,0.159,0.301,0.411,0.312,0.307,0.246,1393,5507,86.7,10.4,2160,89.1,88.35,2651,11168,12472,-0.6999999999999886,5.81,112,147,109,147,291,316,297,"38","-38",,
24548,113,"CIN",2021,24548,100,0.244,0.173,0.3,0.417,0.321,0.307,0.232,1330,5440,87,10.8,2300,89.1,88.94,3116,11224,13324,-0.19999999999998863,6.18,112,152,116,147,293,318,289,"-22","22",,
13857,142,"MIN",2024,13857,100,0.235,0.161,0.285,0.396,0.301,0.307,0.238,758,3221,87.8,15,2268,89.1,89.8,1811,6828,7029,0.7000000000000028,6.71,112,148,119,150,298,324,293,"2.6","-2.6",69.37156108035524,"7.161652335"
23864,146,"MIA",2022,23864,100,0.242,0.164,0.296,0.406,0.315,0.307,0.237,1311,5423,87.7,10.5,2208,89.8,89.72,3145,11589,12274,-0.09999999999999432,6.33,108,153,118,150,298,316,292,"-0.7","0.7",,
13996,116,"DET",2024,13996,100,0.242,0.145,0.293,0.387,0.301,0.307,0.247,790,3263,88.6,11.8,2217,89.1,89.32,1868,6785,7211,0.20000000000000284,6.4,111,148,116,147,295,329,296,"13.8","-13.8",69.29648696638316,"7.284140802"
25131,111,"BOS",2017,25131,100,0.245,0.161,0.304,0.406,0.305,0.306,0.237,1384,5647,87.4,13.5,2258,88.4,87.69,3079,11966,13163,-0.7000000000000028,5.95,111,150,114,146,284,325,290,"106.5","-106.5",,
22891,114,"CLE",2022,22891,100,0.23,0.144,0.275,0.373,0.292,0.306,0.239,1252,5447,88.5,12.6,2262,88.9,89.08,2985,11384,11505,0.19999999999998863,6.34,110,155,118,149,294,316,292,"64","-64",,
23515,108,"LAA",2022,23515,100,0.23,0.148,0.277,0.379,0.301,0.306,0.235,1241,5386,88,13.1,2201,88.2,87.87,3050,11343,12162,-0.29999999999999716,6.16,112,152,115,151,296,322,292,"29.8","-29.8",,
8625,142,"MIN",2020,8625,100,0.232,0.14,0.288,0.372,0.295,0.306,0.234,448,1927,87.2,14.1,2232,86.1,86.03,1147,4102,4523,-0.09999999999999432,6.2,106,154,115,149,300,332,296,"52.6","-52.6",,
8204,133,"OAK",2020,8204,100,0.24,0.152,0.286,0.392,0.3,0.306,0.236,471,1964,88.2,14.3,2194,88.7,88.65,989,3817,4386,0,6.24,110,149,122,149,301,326,300,"35.9","-35.9",,
13644,111,"BOS",2024,13644,100,0.237,0.135,0.286,0.372,0.293,0.306,0.243,766,3233,87.8,11.5,2258,88.1,88.24,1602,6626,7015,0.10000000000000853,6.38,111,149,116,147,286,321,299,"30","-30",69.2691003218738,"7.190214651"
24000,139,"TB",2017,24000,100,0.242,0.161,0.285,0.403,0.305,0.306,0.239,1324,5482,87.5,12.8,2235,88.9,88.04,2900,11251,12737,-0.9000000000000057,5.85,115,151,114,146,298,326,296,"85.4","-85.4",,
23169,139,"TB",2021,23169,100,0.232,0.154,0.282,0.386,0.293,0.306,0.24,1264,5454,87.9,13.3,2263,87.9,88.17,3116,11469,11698,0.29999999999999716,6.57,106,155,117,149,301,322,293,"101.9","-101.9",,
23297,114,"CLE",2016,23297,100,0.243,0.164,0.291,0.407,0.305,0.305,0.243,1330,5480,88.4,10,2302,89.7,89.62,2654,10960,12222,-0.10000000000000853,6.08,108,150,112,147,294,312,287,"40.3","-40.3",,
23203,108,"LAA",2015,23203,100,0.248,0.148,0.288,0.396,0.307,0.305,0.237,1355,5467,87.9,13.2,2136,87.1,86.03,2427,10583,12445,-1.0999999999999943,5.87,111,146,109,148,294,316,302,"12.9","-12.9",,
23345,138,"STL",2016,23345,100,0.258,0.144,0.307,0.402,0.311,0.305,0.249,1432,5553,87.4,8.6,2157,89.1,88.31,2377,10868,12334,-0.7999999999999972,6.02,110,146,110,145,295,312,297,"7.9","-7.9",,
14338,113,"CIN",2024,14338,100,0.237,0.155,0.284,0.392,0.309,0.305,0.236,771,3249,87.5,16.3,2339,89.6,89.67,1790,6982,7354,0.10000000000000853,6.29,112,147,119,149,296,320,290,"23.6","-23.6",69.34081281556008,"7.19699971"
23856,109,"AZ",2017,23856,100,0.24,0.157,0.297,0.398,0.302,0.305,0.238,1309,5443,87.8,9.1,2196,88.8,88.24,2946,10926,12928,-0.5999999999999943,5.93,110,153,113,149,302,324,301,"107.1","-107.1",,
23350,137,"SF",2016,23350,100,0.243,0.149,0.29,0.392,0.3,0.304,0.242,1334,5488,88.2,12.2,2301,88.3,87.9,2575,11025,12215,-0.3999999999999915,6.02,111,148,109,147,286,308,296,"80.7","-80.7",,
23663,143,"PHI",2023,23663,100,0.24,0.157,0.291,0.397,0.305,0.304,0.24,1318,5486,87.8,11.8,2251,89.6,89.96,2969,11387,12276,0.4000000000000057,6.55,112,147,117,148,294,323,292,"51.2","-51.2",,
23230,136,"SEA",2023,23230,100,0.237,0.155,0.288,0.392,0.298,0.304,0.242,1300,5481,88.4,12.2,2226,90.4,90.63,3178,11705,11524,0.19999999999998863,6.39,111,147,118,147,292,320,297,"94.8","-94.8",,
24237,147,"NYY",2015,24237,100,0.253,0.153,0.303,0.406,0.315,0.304,0.24,1416,5590,88,9.4,2086,89.4,88.97,2784,11312,12863,-0.4000000000000057,6.18,106,151,109,145,288,312,287,"9.6","-9.6",,
23518,147,"NYY",2016,23518,100,0.248,0.176,0.294,0.424,0.316,0.303,0.236,1358,5478,88.3,9.8,2174,89.5,89,2914,11131,12333,-0.5,6.1,106,149,111,144,296,321,290,"15.9","-15.9",,
23847,115,"COL",2018,23847,100,0.25,0.167,0.302,0.417,0.318,0.303,0.237,1377,5501,88.2,10.8,2224,89,88.84,2810,11038,12808,-0.20000000000000284,5.95,113,151,114,145,301,323,302,"-8","8",,
24009,135,"SD",2015,24009,100,0.252,0.162,0.307,0.414,0.319,0.303,0.237,1371,5440,88.2,9.8,2208,89.2,88.66,2765,11054,12817,-0.5,6.04,110,148,109,146,293,309,292,"-39.4","39.4",,
23873,145,"CWS",2015,23873,100,0.26,0.15,0.314,0.41,0.318,0.303,0.241,1443,5558,87.4,11.1,2122,89,88.35,2786,11325,12408,-0.7000000000000028,6.11,109,148,107,145,294,308,283,"-13.3","13.3",,
24619,111,"BOS",2018,24619,100,0.237,0.153,0.295,0.39,0.305,0.302,0.229,1305,5515,88.3,12.9,2271,88.1,87.49,2957,11509,13110,-0.5999999999999943,5.97,110,152,115,149,282,316,290,"66","-66",,
23608,121,"NYM",2016,23608,100,0.254,0.141,0.312,0.395,0.304,0.302,0.244,1397,5494,88.2,10.8,2180,90.3,89.98,2694,11429,12029,-0.29999999999999716,6.27,109,152,111,145,291,313,295,"78.8","-78.8",,
23227,136,"SEA",2022,23227,100,0.235,0.154,0.281,0.389,0.3,0.301,0.236,1277,5429,87.9,14.3,2212,88.8,88.98,3024,11676,11551,0.20000000000000284,6.43,110,152,119,146,293,322,293,"77.4","-77.4",,
24039,117,"HOU",2016,24039,100,0.256,0.168,0.308,0.424,0.317,0.301,0.242,1441,5637,87.9,10.7,2219,86.3,85.75,2800,11018,12949,-0.5,6.08,107,149,113,149,282,314,283,"23.6","-23.6",,
24124,117,"HOU",2017,24124,100,0.24,0.167,0.302,0.407,0.31,0.301,0.232,1314,5476,86.6,9.9,2317,87.9,87.33,3198,11267,12851,-0.6000000000000085,5.96,108,150,114,149,289,316,292,"42.3","-42.3",,
22494,114,"CLE",2015,22494,100,0.237,0.149,0.29,0.386,0.297,0.301,0.236,1274,5373,88.4,10.6,2201,90.2,89.82,2690,10957,11443,-0.4000000000000057,6.01,108,150,111,147,286,306,291,"31.6","-31.6",,
22917,139,"TB",2023,22917,100,0.231,0.155,0.285,0.386,0.296,0.301,0.235,1258,5445,88.2,11.4,2275,88.9,89.33,3000,11162,11755,0.3999999999999915,6.61,106,148,117,148,297,325,299,"97.1","-97.1",,
24317,145,"CWS",2022,24317,100,0.242,0.145,0.296,0.387,0.307,0.301,0.232,1330,5498,88.2,13.2,2291,89.5,89.51,3121,11590,12725,0,6.26,109,151,112,148,297,325,297,"-1.6","1.6",,
23342,139,"TB",2018,23342,100,0.23,0.148,0.279,0.377,0.294,0.301,0.231,1236,5382,88.2,12.4,2240,89.2,88.59,2982,11115,12224,-0.6000000000000085,5.96,110,154,113,148,293,321,291,"81.8","-81.8",,
8573,139,"TB",2020,8573,100,0.238,0.153,0.293,0.391,0.303,0.3,0.232,475,1995,86.8,9.9,2220,88.4,89,1177,4226,4346,0.5999999999999943,6.75,108,156,116,147,300,319,293,"37.4","-37.4",,
23387,134,"PIT",2015,23387,100,0.248,0.113,0.305,0.361,0.295,0.3,0.243,1392,5615,87.7,7.6,2108,89.9,89.31,2659,11153,12082,-0.6000000000000085,6.07,108,150,109,148,298,316,290,"115","-115",,
23739,143,"PHI",2021,23739,100,0.244,0.17,0.298,0.414,0.315,0.3,0.231,1321,5418,87,11,2124,90.4,90.83,2947,11487,12252,0.3999999999999915,6.6,110,151,114,148,296,323,292,"-16.9","16.9",,
13416,144,"ATL",2024,13416,100,0.233,0.126,0.291,0.36,0.292,0.3,0.24,731,3133,87.1,10.1,2287,88.2,88.36,1744,6471,6945,0.20000000000000284,6.37,112,150,121,148,298,323,294,"75.3","-75.3",68.91906921678364,"7.309612433"
24478,121,"NYM",2019,24478,100,0.251,0.167,0.307,0.418,0.311,0.3,0.234,1405,5601,87.4,12.5,2259,90.8,90.86,3072,11823,12646,0.10000000000000853,6.25,112,150,112,145,297,316,294,"48.9","-48.9",,
23924,147,"NYY",2017,23924,100,0.228,0.154,0.282,0.382,0.294,0.3,0.232,1248,5468,86.9,10.3,2249,89.2,88.8,3193,11275,12647,-0.4000000000000057,6.11,107,151,112,145,298,321,289,"119.7","-119.7",,
23762,135,"SD",2022,23762,100,0.232,0.145,0.283,0.377,0.299,0.3,0.23,1263,5433,88.1,13.8,2288,88.8,89.18,2988,11386,12373,0.4000000000000057,6.57,112,159,119,150,297,320,299,"48.1","-48.1",,
