IDfg,Season,Name,OPS,PA
12979,2017,Javier Baez,0.796,508
19290,2023,Randy Arozarena,0.789,654
16252,2017,Trea Turner,0.789,447
11200,2016,Kole Calhoun,0.786,672
21454,2023,Lars Nootbaar,0.784,503
6878,2015,Chris Coghlan,0.784,503
16939,2023,Lane Thomas,0.783,682
12856,2018,George Springer,0.78,620
11899,2015,Joc Pederson,0.763,585
3364,2015,Miguel Montero,0.754,403
9810,2015,Brian Dozier,0.751,704
13593,2018,Jose Peraza,0.742,683
13853,2021,Joey Wendle,0.741,501
15491,2021,J.P. Crawford,0.715,687
15518,2022,Amed Rosario,0.715,670
13723,2021,Jacob Stallings,0.704,427
17620,2021,Myles Straw,0.696,638
6012,2015,Didi Gregorius,0.688,578
10847,2015,Andrelton Simmons,0.66,583
18577,2022,Ke'Bryan Hayes,0.659,560
5361,2020,Freddie Freeman,1.102,262
11442,2016,Gary Sanchez,1.032,229
19709,2019,Fernando Tatis Jr.,0.969,372
13145,2019,Josh Bell,0.936,613
9929,2021,Darin Ruf,0.904,312
11342,2018,Jesus Aguilar,0.89,566
10243,2015,Randal Grichuk,0.877,350
4949,2021,Giancarlo Stanton,0.87,579
9205,2017,Logan Morrison,0.868,601
9112,2017,Khris Davis,0.864,652
30116,2023,Seiya Suzuki,0.842,583
1908,2015,Adrian Gonzalez,0.83,643
13419,2019,Christian Walker,0.825,603
9218,2019,Paul Goldschmidt,0.821,682
7435,2018,Ben Zobrist,0.817,520
7435,2015,Ben Zobrist,0.809,535
10762,2018,Corey Dickerson,0.804,533
10243,2018,Randal Grichuk,0.803,462
14894,2021,Tony Kemp,0.8,397
18030,2021,Harrison Bader,0.785,401
785,2017,Todd Frazier,0.772,576
13613,2018,Ketel Marte,0.768,580
785,2016,Todd Frazier,0.767,666
18289,2018,Brian Anderson,0.757,670
4062,2015,Dexter Fowler,0.757,690
19287,2022,Adolis Garcia,0.756,657
16505,2023,Matt Chapman,0.755,581
17992,2019,David Fletcher,0.734,653
26121,2023,Francisco Alvarez,0.721,423
15676,2020,Jose Abreu,0.987,262
745,2015,David Ortiz,0.913,614
1281,2015,Mark Teixeira,0.906,462
9112,2018,Khris Davis,0.874,654
17182,2016,Jung Ho Kang,0.867,370
10155,2023,Mike Trout,0.858,362
19566,2022,Nathaniel Lowe,0.851,645
3269,2018,Robinson Cano,0.845,348
12907,2018,Gregory Polanco,0.839,535
19251,2023,Pete Alonso,0.821,658
2396,2017,Carlos Santana,0.818,667
12144,2023,Max Kepler,0.816,491
13066,2022,Teoscar Hernandez,0.807,535
11489,2017,Michael A. Taylor,0.806,432
4747,2016,Curtis Granderson,0.799,633
12282,2016,Rougned Odor,0.798,632
3269,2017,Robinson Cano,0.791,648
9893,2015,Colby Rasmus,0.789,485
19290,2022,Randy Arozarena,0.773,645
18882,2023,Brandon Lowe,0.771,436
10059,2021,Max Stassi,0.752,319
11445,2021,Mark Canha,0.746,625
15112,2022,Ryan McMahon,0.741,597
9774,2017,Christian Vazquez,0.735,345
16426,2022,Thairo Estrada,0.722,541
10059,2018,Max Stassi,0.71,250
12533,2018,Marcus Semien,0.706,703
19470,2021,Tommy Edman,0.695,691
10847,2016,Andrelton Simmons,0.69,483
8722,2016,Jason Castro,0.684,376
11846,2016,Leonys Martin,0.684,576
14128,2019,Joey Gallo,0.986,297
16252,2020,Trea Turner,0.982,259
13611,2020,Mookie Betts,0.927,246
11899,2019,Joc Pederson,0.876,514
8001,2016,Hanley Ramirez,0.866,620
6364,2015,Danny Valencia,0.864,378
7287,2015,Carlos Gonzalez,0.864,608
6265,2015,Andre Ethier,0.852,445
2434,2018,Nelson Cruz,0.85,591
27534,2023,Edouard Julien,0.839,408
15429,2018,Kris Bryant,0.834,457
9892,2017,Jay Bruce,0.832,617
15676,2021,Jose Abreu,0.831,659
11609,2023,Willson Contreras,0.826,495
5222,2018,Justin Upton,0.808,613
19326,2022,Bryan Reynolds,0.807,614
10472,2018,Enrique Hernandez,0.806,462
13769,2018,Adalberto Mondesi,0.804,291
1857,2017,Joe Mauer,0.801,597
13367,2016,Stephen Piscotty,0.8,649
14145,2018,Daniel Robertson,0.797,340
18568,2022,Luis Arraez,0.795,603
10556,2017,Cesar Hernandez,0.793,577
4579,2017,Starlin Castro,0.792,473
14344,2018,Matt Olson,0.788,660
7949,2017,Tim Beckham,0.782,575
3892,2015,Josh Reddick,0.781,582
3269,2015,Robinson Cano,0.779,674
7185,2016,Logan Forsythe,0.778,567
16997,2022,Gleyber Torres,0.761,572
4810,2015,Brian McCann,0.756,535
13338,2021,Omar Narvaez,0.743,445
11038,2023,Kevin Kiermaier,0.741,408
15172,2016,Tim Anderson,0.738,431
15518,2021,Amed Rosario,0.731,588
12180,2018,Jorge Alfaro,0.731,377
4579,2018,Starlin Castro,0.729,647
12984,2018,Jackie Bradley Jr.,0.717,535
11038,2021,Kevin Kiermaier,0.716,390
21636,2023,Jeremy Pena,0.705,634
