away_team,away_score,away_team_xwoba_diff,away_lineup_xwoba,away_team_xfip,away_starter_xfip,away_close_win_pct,away_run_diff,home_team,home_score,home_team_xwoba_diff,home_lineup_xwoba,home_team_xfip,home_starter_xfip,home_close_win_pct,home_run_diff
LAA,0,-0.0069,0.3271442298297984,4.5805,4.018949375632804,0.5111896465903435,-59.5,HOU,4,0.04639999999999997,0.33089444699689463,3.6854999999999998,2.9105861508452535,0.5489462209302326,263.15
TEX,4,-0.01745,0.3165071525191984,4.7705,4.1754085503053675,0.47556385277282887,-71.1,MIN,7,0.013349999999999935,0.3294277962776851,4.357,4.255572291004001,0.5666341991341991,105.8
OAK,3,0.0167,0.32357055556067893,4.5755,4.612846493008356,0.5778344671201814,120.7,SEA,6,-0.01465,0.30583458140329456,4.6209999999999996,4.564700228087325,0.5346493411228419,-92.8
NYY,3,0.030449999999999998,0.3456760774927814,4.0375,4.464693607641441,0.49700552825552824,197.59999999999997,TB,4,0.026,0.31933307415630063,3.9725,3.5175706621827207,0.5424902216427641,83.8
BAL,8,-0.03634999999999994,0.29882877015441295,5.028500000000001,5.173462915601023,0.35,-233.39999999999998,TOR,1,-0.008499999999999999,0.31321033395129466,4.717,4.585788211788213,0.48074953980671875,-105.6
COL,3,-0.02324999999999994,0.31226690919213124,4.479,3.541593984962406,0.5555133295519001,-55.0,AZ,5,-0.0057,0.3245876765869377,4.1834999999999996,4.695323154510382,0.4696930618401206,77.2
MIA,3,-0.0258,0.29873396433882715,4.9334999999999996,4.796573705666074,0.40443181818181817,-177.4,ATL,4,0.0083,0.3390836717264053,4.3925,3.8393015597920273,0.612382965871338,79.35000000000001
CLE,11,0.019549999999999998,0.3201567685899629,4.0065,3.856909606522509,0.4956020837507514,147.8,CIN,1,4.99999999999997e-05,0.3228703321845762,4.228999999999999,4.358356304236856,0.3724484287642182,-54.15
SD,5,-0.01845,0.2991407278704808,4.2225,4.150861920828715,0.5149069767441861,-133.5,LAD,3,0.05029999999999999,0.33258923476195723,3.757,3.358744440563511,0.5408395176252319,240.79999999999998
PHI,8,-0.00885,0.30883601453425674,4.3725,3.5579351883659682,0.49550706033376124,-38.55,NYM,3,0.01405,0.3066352224364184,4.2445,4.0341632491546155,0.47162107396149944,5.449999999999999
MIL,5,0.007500000000000001,0.3167158118836537,4.301,4.932322605189074,0.5984410801963993,30.8,PIT,6,-0.0114,0.31716909106621344,4.5165,4.153227069067546,0.4694295900178253,-101.5
STL,0,0.009899999999999999,0.31258685771143013,4.2940000000000005,3.7135064276661236,0.5120734644720996,86.6,SF,1,-0.022350000000000002,0.3054088999262588,4.4775,4.884087090558767,0.6116979061127997,-101.55
KC,2,-0.03065,0.30850464150764406,4.8475,4.505309047830593,0.4134021901443504,-168.9,WSH,5,0.02095,0.31575894391607084,4.242500000000001,3.3781596752368066,0.4637992038920832,133.7
CHC,1,0.00445,0.33138140247661624,4.2615,4.049755434782608,0.4659747417672832,106.24999999999999,CWS,3,-0.02885,0.3086413447183074,4.8575,4.585915887850468,0.4278409090909091,-139.5
BOS,6,0.023749999999999997,0.3360629623638721,4.2005,3.8823241906894297,0.5474108818011256,118.6,DET,3,-0.03045,0.3122584679425018,4.718,5.221375308605352,0.4028525641025641,-265.15
LAA,10,-0.0069,0.3277824478911662,4.5805,5.279590828275452,0.5111896465903435,-59.5,HOU,11,0.04639999999999997,0.32944250886693127,3.6854999999999998,4.526408379416024,0.5489462209302326,263.15
TEX,4,-0.01745,0.3269991989560152,4.7705,4.091142633841344,0.47556385277282887,-71.1,MIN,1,0.013349999999999935,0.32974857658816803,4.357,3.9436574614287565,0.5666341991341991,105.8
OAK,7,0.0167,0.32751890605410566,4.5755,5.200514872738425,0.5778344671201814,120.7,SEA,4,-0.01465,0.3063580393671275,4.6209999999999996,4.751419026612786,0.5346493411228419,-92.8
NYY,1,0.030449999999999998,0.3321443701391781,4.0375,3.5836659197848975,0.49700552825552824,197.59999999999997,TB,2,0.026,0.31897198724561643,3.9725,3.377506240967021,0.5424902216427641,83.8
BAL,1,-0.03634999999999994,0.30472112074943847,5.028500000000001,5.2493839489845655,0.35,-233.39999999999998,TOR,6,-0.008499999999999999,0.32030260793350995,4.717,4.865303859196609,0.48074953980671875,-105.6
HOU,0,0.04639999999999997,0.3400625253829139,3.6854999999999998,4.3879564884430335,0.5489462209302326,263.15,TEX,5,-0.01745,0.3140755935548657,4.7705,4.075399709302325,0.47556385277282887,-71.1
PIT,3,-0.0114,0.32135515871607084,4.5165,3.904994376823973,0.4694295900178253,-101.5,CHC,4,0.00445,0.31942038825786834,4.2615,3.625596109462578,0.4659747417672832,106.24999999999999
