last_name,first_name,mlbam_id,retrosheet_id,fangraphs_id
mccutchen,andrew,457705,mccua001,9847
arencibia,j. p.,450317,arenj001,697
davis,chris,448801,davic003,9272
moncada,yoán,660162,moncy001,17232
alonso,pete,624413,alonp001,19251
tucker,kyle,663656,tuckk001,18345
arenado,nolan,571448,arenn001,9777
benintendi,andrew,643217,benia002,17901
reyes,franmil,614177,reyef001,14566
cervelli,francisco,465041,cervf001,5275
moreland,mitch,519048,morem001,3086
howard,ryan,429667,howar001,2154
santana,carlos,467793,santc002,2396
hosmer,eric,543333,hosme001,3516
hiura,keston,669374,hiurk001,20003
castro,jason,488771,castj006,8722
altuve,josé,514888,altuj001,5417
luplow,jordan,656669,luplj001,16424
anderson,tim,641313,andet001,15172
harper,bryce,547180,harpb003,11579
smith,will,669257,smitw003,19197
santander,anthony,623993,santa003,14551
martini,nick,605361,martn003,12005
drew,stephen,452220,drews001,4251
india,jonathan,663697,indij001,21523
smith,will,669257,smitw003,19197
astudillo,willians,553902,astuw001,15608
forsythe,logan,523253,forsl001,7185
bailey,patrick,672275,bailp001,27478
suárez,eugenio,553993,suare001,12552
gallo,joey,608336,gallj002,14128
nimmo,brandon,607043,nimmb001,12927
hays,austin,669720,haysa001,19363
nootbaar,lars,663457,nootl001,21454
contreras,willson,575929,contw001,11609
dalbec,bobby,666915,dalbb001,19966
murphy,tom,608596,murpt002,13499
kirk,alejandro,672386,kirka001,22581
guerrero,vladimir,665489,guerv002,19611
belt,brandon,474832,beltb001,10264
duda,lucas,446263,dudal001,2502
hernández,teoscar,606192,hernt002,13066
arozarena,randy,668227,arozr001,19290
lewis,royce,668904,lewir003,20437
davis,j. d.,605204,davij006,16219
realmuto,j. t.,592663,realj001,11739
slater,austin,596103,slata001,16153
longoria,evan,446334,longe001,9368
solano,donovan,456781,solad001,8623
rasmus,colby,458675,rasmc001,9893
longoria,evan,446334,longe001,9368
gosselin,philip,594838,gossp001,10953
holliday,matt,407812,hollm001,1873
tulowitzki,troy,453064,tulot001,3531
bregman,alex,608324,brega001,17678
realmuto,j. t.,592663,realj001,11739
pasquantino,vinnie,686469,pasqv001,27676
mcneil,jeff,643446,mcnej002,15362
refsnyder,rob,608701,refsr001,13770
souza,steven,519306,souzs001,5667
pham,tommy,502054,phamt001,2967
haniger,mitch,571745,hanim001,14274
ohtani,shohei,660271,ohtas001,19755
schwarber,kyle,656941,schwk001,16478
chapman,matt,656305,chapm001,16505
stanton,giancarlo,519317,stanm004,4949
fielder,prince,425902,fielp001,4613
dickerson,corey,572816,dickc002,10762
swanson,dansby,621020,swand001,18314
turner,trea,607208,turnt001,16252
lewis,kyle,641786,lewik001,19508
schanuel,nolan,694384,schan001,33189
markakis,nick,455976,markn001,5930
bregman,alex,608324,brega001,17678
seager,kyle,572122,seagk001,9785
fowler,dexter,451594,fowld001,4062
sánchez,jesús,660821,sancj003,19913
conforto,michael,624424,confm001,16376
nimmo,brandon,607043,nimmb001,12927
moran,colin,592567,morac001,16909
happ,ian,664023,happi001,17919
shaw,travis,543768,shawt001,11982
vogelbach,dan,596129,voged001,14130
moustakas,mike,519058,mousm001,4892
grossman,robbie,543257,grosr001,5254
peralta,david,444482,perad001,2136
calhoun,kole,594777,calhk001,11200
bryant,kris,592178,bryak001,15429
soler,jorge,624585,solej001,14221
braun,ryan,460075,braur002,3410
merrill,jackson,701538,merrj002,29490
abreu,josé,547989,abrej003,15676
pederson,joc,592626,pedej001,11899
jeffers,ryan,680777,jeffr002,24618
gimenez,chris,460269,gimec001,7324
rendon,anthony,543685,renda001,12861
pérez,salvador,521692,peres002,7304
