"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
8547,146,"MIA",2020,8547,100,0.244,0.141,0.306,0.384,0.308,0.305,0.236,472,1935,86.9,10,2196,88.5,88.8,1106,3969,4575,0.29999999999999716,6.49,108,151,117,147,302,320,291,"2.5","-2.5",,
23232,147,"NYY",2016,23232,100,0.252,0.153,0.289,0.405,0.311,0.305,0.247,1378,5458,87.9,11.1,2192,88.3,87.53,2326,10712,12455,-0.7999999999999972,5.98,109,152,113,147,291,315,290,"50.1","-50.1",,
23609,110,"BAL",2021,23609,100,0.239,0.163,0.29,0.402,0.305,0.305,0.238,1296,5420,87.8,12.9,2231,88.8,88.86,3126,11476,12133,0.10000000000000853,6.41,109,153,116,149,298,323,292,"60.8","-60.8",,
23940,115,"COL",2017,23940,100,0.273,0.171,0.332,0.444,0.332,0.305,0.244,1510,5534,86.6,9.8,2219,88.9,88.6,2823,11402,12534,-0.30000000000001137,5.98,110,150,110,147,304,323,301,"-74.6","74.6",,
8757,110,"BAL",2020,8757,100,0.258,0.171,0.309,0.429,0.323,0.304,0.241,523,2026,85.6,12.8,2211,88.4,88.63,1180,4450,4305,0.19999999999998863,6.43,109,152,118,146,293,319,289,"2.2","-2.2",,
23487,115,"COL",2023,23487,100,0.249,0.156,0.315,0.405,0.31,0.304,0.24,1368,5492,87.5,12.6,2264,88.8,89.35,3428,11786,11701,0.6000000000000085,6.43,111,149,118,149,303,329,299,"6.6","-6.6",,
23541,112,"CHC",2021,23541,100,0.237,0.171,0.296,0.407,0.311,0.304,0.228,1255,5306,87.7,10.9,2269,89,89.23,3126,11042,12498,0.20000000000000284,6.37,110,153,118,148,295,321,294,"13.3","-13.3",,
23739,145,"CWS",2016,23739,100,0.257,0.153,0.304,0.41,0.314,0.304,0.247,1428,5550,88.3,10.6,2218,88.9,88.18,2716,11486,12195,-0.7000000000000028,6.04,107,149,109,145,292,316,290,"31.7","-31.7",,
23097,140,"TEX",2022,23097,100,0.239,0.157,0.287,0.395,0.305,0.303,0.235,1308,5478,88.5,13.6,2244,88.7,88.49,3278,11603,11493,-0.20000000000000284,6.24,111,156,119,149,300,327,297,"21.3","-21.3",,
23471,118,"KC",2019,23471,100,0.247,0.154,0.301,0.401,0.302,0.303,0.24,1356,5496,87.7,12.1,2244,88.4,88.1,2870,11206,12257,-0.30000000000001137,5.99,107,150,112,147,297,321,296,"105.2","-105.2",,
24133,143,"PHI",2017,24133,100,0.25,0.159,0.304,0.409,0.31,0.303,0.241,1382,5535,87.3,10.1,2201,88.9,88.48,2889,11469,12663,-0.4000000000000057,6.12,110,150,109,149,290,314,291,"61.2","-61.2",,
22758,120,"WSH",2022,22758,100,0.249,0.129,0.295,0.377,0.303,0.302,0.244,1351,5434,86.7,9.8,2217,89,89.11,2657,11126,11631,0.09999999999999432,6.37,110,152,117,149,299,320,296,"59.7","-59.7",,
23350,116,"DET",2018,23350,100,0.241,0.138,0.293,0.38,0.295,0.302,0.242,1326,5494,87.4,13,2209,88.5,88.07,2910,11589,11760,-0.4000000000000057,6.02,110,151,112,147,294,320,291,"74.6","-74.6",,
24616,143,"PHI",2018,24616,100,0.234,0.158,0.289,0.393,0.307,0.302,0.227,1270,5424,88,13.2,2204,89,88.67,3077,11345,13269,-0.29999999999999716,6.08,110,151,110,148,293,318,294,"47.4","-47.4",,
22931,118,"KC",2016,22931,100,0.261,0.139,0.309,0.4,0.307,0.302,0.25,1450,5552,88.1,10.4,2198,88.7,88.16,2646,11346,11500,-0.5,6.05,108,150,110,146,297,317,293,"50.1","-50.1",,
24156,121,"NYM",2018,24156,100,0.234,0.154,0.283,0.389,0.305,0.301,0.231,1282,5468,87.6,13.7,2209,88.7,88.15,2847,11306,12847,-0.6000000000000085,5.99,110,152,112,148,295,318,297,"48.9","-48.9",,
23807,133,"OAK",2015,23807,100,0.251,0.144,0.288,0.395,0.308,0.301,0.241,1405,5600,87.2,10.7,2127,87.8,87,2101,10682,13032,-0.7999999999999972,5.84,108,148,109,146,289,310,291,"-11.3","11.3",,
